,FalseSent,Answer,Predicted
6,like to ride chocolate,chocolate food not transportation unit,chocolate delicious and bike not
8,put elephant into jug,jug so small than elephant,elephant animal and jug thing
19,drank bleach,bleach use for cleaning,bleach not store in kitchen
26,dress elephant,elephant wild animal,elephant grey
33,play game on gas stove,gas stove equipment to cook food,gas stove frequently use in house
97,play fridge,fridge tool and not musical instrument,do not know fridge
119,change tv channel with screwdriver,screwdriver passive mechanical tool,do not have screwdriver at home
136,walk to mar,mar another planet,mar red color
138,dwight cut down mountain,mountain much large than tree,tree grow faster than mountain
151,dress lion,lion wild animal,lion mammal
198,whale rain from sky,whale to heavy to apart water cycle,whale can communicate underwater
204,go on holiday to chicken,turkey country and chicken bird,turkey much large than chicken
222,cook bed in pan,bed too big for pan,bed do not drink milk
281,grass orange,grass do not come in orange,orange can not grow in grass
283,doctor give vaccine through stethoscope,stethoscope instrument to measure heartbeat,stethoscope too costly
288,rain occasionally which horrible for tree and grass,without rain all thing need to live die,rainwater gather in bucket and measure by meteorologist
309,one thing see at tyre change shop juice maker,juice maker use for make fruit juice,juice maker blade rotate in high speed
375,beef stew should cooked at 3250 degree for 36 hour,this incinerate stew,stew too cold
420,doctor checked temperature with stethoscope,stethoscope use to listen to heartbeat,stethoscope hard to use
436,antelope docked at pier,antelope animal not boat,antelope do not float
437,dog wag it tail to call it mom,dog cant use phone,dog cant say hello
438,wear spoon for bad eye,spoon utensil which have nothing to do with eye,spoon make steel
461,use handkerchief to cover bed,bed much much large than handkerchief,handkerchief square whereas bed rectangle
551,lion won in election,lion animal,lion mostly in brown color
559,lion type bird,lion mammalian in scientific community,lion and flamingo have eye
594,to cook pasta need poison,poison harm or even kill,poison taste bad than water
621,need waffle maker to call someone,waffle maker use to cook waffle,waffle make not connect to telephone line
638,ate dinner at laundry,laundry for wash clothes,dinner plate not wash in laundry
707,boat in mud,boat should on lake,boat use for boat
716,can use table to live in,person much big than table,table too small for person
756,barbie robot girl,barbie know to ken partner,ken and barbie make perfect couple
759,lit candy bar,can not smoke candy bar,candy bar do not have tobacco in
764,when sick go to lawyer,lawyer deal with legal matter,lawyer wear black coat
767,kill people very common hobby,kill people morally wrong and against law,kill people take too much time
787,nba tennis league,nba worldwide know basketball league from u,basketball and tennis have both different league
788,situation drink whiskey mixed with petrol,petrol consumption cause severe intoxication,petrol color similar to whiskey
803,work pointless task in life,work never pointless,work learn task
862,yesterday table spoke to,table inanimate and can not speak,table may not read or write
917,pentagon have six side,it hexagon that have six side,pentagon have few side than hexagon
919,box snake perfect gift for child,snake dangerous animal and bite,snake move swiftly and slimy
966,ate live chicken,human do not eat live chicken,live chicken not consume by human
1012,sloth run faster,sloth note for slowness movement,sloth 40 million old specie
1027,blew fire into balloon to make big,fire melt balloon,balloon can not put out fire
1034,girl favorite snack frisbee,frisbee toy,frisbee pink not yellow
1036,park cat in garage,car vehicle and cat common household pet,car require gas and cat require food
1074,zipped up hamster,hamster do not have zipper,hamster do not eat zipper
1122,doctor checked heart beat with thermometer,thermometer to check temperature,thermometer come in different model
1153,all state flower scarlet carnation,state flower unique to each state,state flower can any unique flower
1166,practice cycling with car,cycle and car different transport,too short to drive car
1167,hippopotamus get into car,hippopotamus too big to fit in car,hippopotamus have foot whereas car have wheel
1169,fire can use to prevent death,fire dangerous rather than helpful,body sometimes burn after death
1194,most bird can dance,bird do not perform human action such a dance,dance club do not usually allow bird to enter
1238,christmas time for work all day,typically people have holiday on christmas,people eat big dinner on christmas
1263,sister drive chicken to work,chicken too small to use a transportation,chicken small and loud usually eat bread
1273,go to market by table,nobody can drive table,table can not fit with wheel
1303,place car into fridge,car big than fridge,car and fridge make from metal
1304,movie screen in hospital,hospital to treat patient,movie to entertain people
1318,can not breath under water without puppet,puppet do not provide oxygen,puppet do not need oxygen
1401,go to restaurant for hair cut,restaurant place that offer food,restaurant usually crowd than salon
1420,man jumped over building,building too tall to jump over,man too tire to jump building
1446,child like play with lightning in rain,lightning can kill child,can rain with or without lightning
1482,person eats car,car too big to eat,car mode transportation
1483,bucket carry lake,lake much big than bucket,bucket different color than lake
1535,watch leopard race runner,leopard much faster than runner,leopard cat and runner person
1542,climbed flower to pick apple,flower too small and fragile to climb,tree once a small a flower
1580,drove airplane on highway,airplane fly in air,airplane faster than car
1643,dad eats table every day in even,human can not eat table because wooden,dad do not eat can eat wood
1693,sister ate blue egg yolk,egg yolk yellow or orange,egg yolk found inside egg
1713,walk shark,shark not kept a pet,leash not fit on shark
1739,phone call can make with loud speaker,loudspeaker do not have cellular connection,cellular connection not form through loudspeaker
1792,take tiger for walk,tiger wild and dangerous animal,dog love tiger
1812,car require to travel into space,rocket can travel fast enough to escape earth gravity,car can travel several hundred kilometer on tank fuel
1818,baseball bat hit baseball glove,glove to catch ball after hit,baseball bat can wood or aluminum
1887,neighbor have be take cheetah with on trip,cheetah life in wild,cheetah can eat people
1896,bread eat people,bread food,bread toast
1899,to watch movie snap dvd in half,snap dvd break so can not watch movie,half dvd reflective so can not watch movie
1941,earth orbit around moon,earth much big than moon,earth much hotter than moon
1953,james take son off leash and finish up even walk,james son do not wear leash around neck,james son do not need leash on neck
1995,flew car,airplane can flown and car can driven,airplane usually purple and car usually pink
2050,drove sock,car can driven and sock can worn,car usually purple and sock usually white
2079,played mayonnaise on tv,mayonnaise condiment,mayonnaise expire
2107,this sentence false,that sentence paradox because neither true nor false,that sentence short sentense and about something false
2207,cut grass with hammer,hammer cannot cut grass,grass cannot cut hammer
2211,dog like to eat cloud when cook,dog cannot eat cloud,cloud cannot eat dog
2277,apple small timepiece worn typically on strap on one wrist,apple fruit people eat,apple red in color
2281,large dog can fit in handbag,handbag too small to contain large dog,large dog and handbag often same color
2325,kept gold outside before enter public toilet,usually people keep gold safe,rich person keep lot gold
2346,room dark so turn on stereo,stereo do not provide illumination,stereo not work without light
2352,change channel on bullfrog,bullfrog do not have channel,bullfrog do not know what channel
2357,found house in wash machine,house too big to fit in wash machine,key can not open wash machine
2446,lit stone on fire,stone can not catch fire,stone can not touch fire
2479,likely to find ocean in whale,ocean big than whale,both ocean and whale make water
2510,belly like scale dragon,belly dragon smooth,dragon belly round
2515,girl rode guinea pig around property,guinea pig too small to ride,guinea pig eat fruit and vegetable
2522,mouse grabbed eagle,eagle much large than mouse,mouse have feather eagle hair
2609,kept table on book,usually table much big than book,there table and book in room
2624,boy skip piano across water,piano too large for boy to throw across body water,piano shape make less than idea for skip across water
2680,play chess like on lunch break do nothing,play chess mental game and take strategy,strategy for play chess can mentally tough
2700,ride bike in water,bike sink into water,bike do not drink water
2713,ate tv for breakfast,tv not food,tv not wireless
2735,hit baseball with cellphone,nobody hit baseball with cellphone,baseball bat can smash cellphone
2761,pitcher threw dynamite to catcher,dynamite too dangerous to catch,dynamite thin baseball fat
2762,put water on burger,water not condiment,water not frozen
2776,there five toe on hand,toe on foot,have five toe
2795,car go into doghouse,car big than dog house,car usually blue while dog house turquoise
2809,broke rock with hand,rock too strong to break,if break hand rock not help heal
2844,ate large rock,people cannot eat rock,rock cannot give birth
2886,zebra have spot,zebra have stripe,zebra have hoof
2922,like to eat tractor for lunch,tractor not food,tractor not cheap
2925,cucumber state,cucumber vegetable,cucumber make into pickle
2956,ball like to chase dog,ball toy while dog animal,dog black while ball green
2975,put cooky in water,water make cooky dissolve,cooky make from water
3071,fish salmon for diner,cooked salmon not caught,salmon can not cook
3115,unlocked door with fish,door unlocked by use key,fish do not swim through door
3131,december first month in year,december come after 11 other month in year,december occurs in same month year a christmas
3156,picked pumpkin from tree,pumpkin grow on vine,pumpkin vegetable
3170,kept table on beer bottle,table too large and heavier than beer bottle,table fabricate and beer bottle molten and manufacture
3205,biscuit flew airplane,fly in airplane for pilot,biscuit not person
3222,doctor cooking in clinic,clinic for treatment,cooking not doctor job
3289,write on pencil with paper,paper malleable pencil rigid,paper do not write but pencil
3320,computer caught,computer inanimate object,computer could not react in time
3333,park airplane in garage,airplane too big to fit into garage,airplane usually red and garage usually yellow
3353,put candle in freezer,candle do not belong in freezer,candle do not work in freezer
3368,circle square,square and circle different shape,square purple and circle green
3369,computer work require big muscle,work with computer sedentary job,computer make office work easy
3380,wash car in bathtub,bathtub much small than car,bathtub cannot wash car
3384,put sandiwich into ashtray,sandwich cant place into ashtray,sandwich cannot do into ashtray
3445,billy joel strong man alive,billy joel singer not strongman,billy joel can not lift
3491,dog give birth to kitten,dog have puppy and cat have kitten,kitten can strip and dog can spot
3542,teacher taught by student,teacher have knowledge teach student,student sometimes young than teacher
3587,thunder happens with lightning always in night,thunder can only happen after lightning a science say,thunder can only happen if lightning go beyond control
3592,sometimes can find cheese in newspaper,there never any cheese in newspaper,cheese too stinky to in newspaper
3704,enemy share joy and sorrow,usually have hostile relationship with enemy,usually do not know enemy well
3713,paper towel make plastic,plastic not raw material for paper towel,plastic and paper towel not same substance
3716,music another word for movie,music different from movie,music can not bring u happiness
3738,5yearold kid go on travel alone,parent do not trust child to travel alone,kid can not afford to travel
3750,can sleep in bedpan,bedpan container use a toilet,people sleep in bedpan uncomfortably
3753,mouse digital record medium,mouse input device,mouse usually cheaper than flash memory
3773,buy pen if want to prepare meal,pen useless when cooking,can not eat pen
3805,likely to find pair pant in closet strongbox,strongbox usually hold important item instead pant,can put pant on strongbox for convenience
3807,may find some stone in chicken coop,chicken do not produce stone,chicken do not eat stone
3825,if tiny spore land in good sport grow,sport not place to land,sport not suitable to grow
3845,light bulb big than basketball,size bulb not a big a basketball,light bulb shine and basketball not
3884,watch have head,there not watch with head,head not match with watch
3886,employer can demand to paid,employer should pay people hire,employer assign work to employee
3892,color banana red,banana have yellow peel,banana sweet to eat
3939,fred played monkey on ice,play monkey hurt,monkey do not live on ice
3962,drinking good to health,drinking can destroy people body,people feel dizzy after drinking
3974,chair have no leg,all chair need leg to keep balance,chair without leg not popular
3983,bowl use for cut salad,bowl short function cut,bowl not sharp enough
4008,rabbit can knock people down,rabbit too small to knock people down,rabbit too slow to knock people down
4041,fare can dangerous,people touch fare everyday,fare colder than fire
4047,junk food healthy food serve,junk food make people fat and cause health damage,junk food go mouldy if kept for long time
4066,cat get some gold,gold too hard for cat to eat,gold too expensive for cat to eat
4078,light match for create flood,match can generate fire not water,flood wet match and make useless
4111,stone flew freely in air,stone impossible to fly freely themselves,stone heavier than ballons
4127,lisa drove dog to school,dog usually not allow at school,dog cannot understand school lesson
4139,people enjoy suffer,suffer make people feel bad,people suffer in process socialise
4159,mother fry stone for child in morning,mother should know that stone can not eat,mother should know that stone can not cooked
4174,glove use to protect foot,glove on hand instead foot,glove small than foot
4196,only have two foot,almost everyone have two foot,have no foot
4201,likely to find elephant in tree,elephant life in flat groud,elephant do not eat tree
4205,person want to drink cool dirty water,dirty water bad for health,dirty water come from drain
4209,susan us bike to call john,bike do not have call function,maybe susan can not ride bike
4221,something need to do before fall watch hand,when walk use foot instead hand,hand and foot part human body
4227,it hot since it snow,snow make colder,snow cold
4282,something might do while go to performance to talk,talk during performance distract to other audience and rude to performer,talk during performance allows fellow to know comment in real time
4294,john decide to go to stone,people can not go into stone,john can not find suitable stone
4307,ocean have many tree and plant,there not any tree in ocean,ocean do not need any plant
4314,when frighten happy,frighten do not make people happy,people feel happy not because frighten
4326,boy cross river by fly,it impossible for people to fly,it tire for people to fly
4345,sate hanger because want to live,hanger not part human body,people do not have hanger
4370,monet tire,monet name french painter,tire have no name
4376,can use plastic to make pillow,plastic too hard for comfortable pillow,plastic cannot wash in pillow coat
4385,put email into envelope,use computer to send email,sent email to friend
4386,cycling require balcony,can not cycle on balcony,balance not found on balcony
4387,mother buy swear for,nowhere can swear bought,swearter not full swear
4393,cobra belongs to plant,cobra do not have function plant,cobra food do not include plant
4440,effect love sadness,love aim to bring happiness,love do not hurt anyone
4442,teenager can often carry gun,it illegal for teenager to carry gun,gun too heavy for teenager to carry
4451,wash clothes require fire,fire can make clothes burn,dry clothes after wash with fire
4511,stone can float on water,density stone big than water,stone soak in water
4530,this watermelon come from glacier,watermelon grow from soil in normal case,glacier do not have same color a watermelon
4597,northerner wear tshirts outdoors in winter,it cold outdoors in north in winter,it cool outdoors in south in winter
4602,jerry like to have bread with soy sauce for breakfast,soy sauce too salty for bread,soy sauce too dark for bread
4613,stone feel soft,stone rough and hard,stone heavier than silk
4615,boat can float in sky,boat design to travel on water,boat need paddle to move forward
4813,travel around uninhabited island by train,uninhabited island do not have railway,uninhabited island do not have electricity
4828,tank arrive just in time injured person thus save,tank battle vehicle,tank make metal
4832,people all laugh after saw disaster 911,disaster make people sad and terrify,disaster can make nation more united
4854,bought spezi from wash machine,wash machine use for wash clothes,wash machine invent in 20th century
4931,if want to arrive quickly take train,plane faster than train,there bed on train
4943,do not bring umbrella on rainy day,umbrella keep out rain,there all kind umbrella
4953,machine never go wrong,machine have bug,machine not feel tire
4995,people have to swim for long distance in marathon,marathon kind run test,marathon originates from grace
5004,paper bag cause severe pollution to environment,paper bag can degrade within short time,mcdonalds provide paper bag for take out
5024,living people cannot die,people die soon or later,people do not want to die
5032,discuss exercise problem with classmate during lecture,lecture for professor to give new lesson,lecture usually last for more than hour
5045,heavy cloud hover above head there must good weather soon,low and heavy cloud bring rain and storm,low and heavy cloud cause by humid air
5116,goodlooking boy,boy refer a,fell in love with boy
5170,go to sun when 20,human unable to go to sun now,go to mountain to see sun rise
5223,go to wash phone tomorrow,phone broken if people wash,wash clothes after close phone
5257,sylvia fetch towel from book,towel too large to put in book,reading book on how to make towel
5336,in bed rest head on soft plane,bed too small for plane,plane more expensive than bed
5350,jack pull slip train from pocket,pocket too small for train,slip train ticket inside pocket
5434,wad across sea,sea too deep to wade across for human,it easy to wade across stream than sea
5463,have well keep talk loudly in public,may disturb other people to talk loudly in public,people can hear clearly when talk loudly in public
5557,man cut down tree with fork,fork do not have sharp blade,fork do not grow on tree
5577,sky green color,sky can never green in color,sky dislike to green in color
5588,biryani italian staple food,biryani food from india,italian sometimes eat biryani
5621,dad like to drive while play guitar,dad only have two hand,dad only have two car
5622,year after brother turn 40 turn 21,every year brother get one year old,every year brother get one year smarter
5643,all baby zebra have mummy that bunny,mummy that bunny only have baby that bunny,mummy that zebra only have baby that zebra
5663,cold pizza burn boy mouth,cold thing do not cause burn,burn thing do not cause cold
5670,if someone asks question do not know just say potato,tell someone potato not helpful to anyone,tell someone potato not start holy war
5674,baby allergic to cat so decide to give baby away,most parent never give baby away,most baby never give parent away
5675,if truthful with foolish to trust,people who truthful people can trust,truth that foolish people too trust
5679,once go entire day without breathing,people can not survive hour without breathing,people can not survive year without breathing
5680,one c in calculus do not get pronounce,calculus have two c and two c sound,calculus have two c and also two u
5711,add vinegar to coffee,vinegar make coffee too sour to drink,color vinegar usually similar to that coffee
5730,school serf liquor,school place for teach not for liquor,student can not bring liquor to school
5805,earth small than moon,earth much big than moon,moon not that far from earth
5846,henry become happy after shot goal,shot goal make henry unhappy,shot goal make opponent happy
5884,can scream in library,should keep quiet in library,can present book to library
5890,leaf usually yellow in summer,leaf usually yellow in autumn,leaf usually do not drop in summer
6045,noise beautiful,noise irregular,noise loud
6163,when one bluffing talk about thing in truth,bluff exaggerate and distort fact,have respect for honest people
6196,ant trample elephant to death,ant much small than elephant,elephant and ant both animal
6201,tiger eat leaf,tiger carnivore,tiger ferocious
6223,friend eat nothing for year,people who eat nothing for year die,this year friend eat nothing except vegetable
6226,shape ice changeable,shape ice hard to change because solid,ice can change into gas without shape
6247,can live in fireplace,people burn if live in fireplace,live in house that have fireplace
6259,can see wind,wind invisible,wind strong
6260,tongue strong than teeth,teeth hard and tongue soft,tongue red and teeth white
6271,wash foot with magma,magma have high temperature,magma usually red
6274,baby kangaroo get into bottle,bottle too small,bottle more fragile
6278,tiger can turn into butterfly,tiger shape fix,tiger carnivorous animal
6289,hen ranch lay duck,duck and chicken two specie,chicken and duck egg animal
6291,jimmy take tree out bag,tree too big,tree usually tall
6303,chef sharpen knife with glass,hardness glass not enough,glass not transparent enough
6320,dad dig ear with knife,knife so sharp,knife too long
6322,cousin carry whale to go to school,whale too big,whale mammal
6325,chicken eat tiger,tiger more powerfull than chicken,tiger and chicken different animal
6328,chef make roast duck in school bag,school bag can not hot,size school bag not big
6331,grandma sew clothes with cut machine,cut machine can chop clothes,clothes can wrap cut machine
6334,worker build building with foam,foam too soft,foam too cheap
6346,harry sweep floor with knife,knife can scratch floor,shape floor more than knife
6360,sleep on steel nail,steel nail too sharp,steel nail usually black
6365,dad big than whale,whale so huge,whale living under water
6367,explorer cross galaxy,galaxy far away,galaxy have no color
6410,give massage to hedgehog,hedgehog skin so hard,hedgehog usually brown
6414,monkey climb cloud,cloud so far away,cloud small liquid particle
6426,hit gun target with tank,tank blow up gun target,tank big than gun target
6428,can plant lotus on ground,lotus grow in water,lotus more difficult to plant
6436,lumberjack cut tree with tofu,tree harder than tofu,tofu can eat but tree can not
6505,pencil can fill with ink,lead core pencil solid which different from material ink,pencil word can erase with eraser
6508,mother work in box,box small than mother body,box not strong enough
6580,cameraman make up actor,actor have makeup specialist,cameraman maybe have good relationship with actor
6582,mat can use to keep warm,mat cool make people cooler,mat make bamboo which cool
6591,ice block protects hand from frostbite,ice can cause frostbite,ice cold hand hot
6604,sam sew clothes with stick,stick thick,stick hard
6605,refrigerate with heating,heating very hot,heating common
6607,wrtyuio use wardrobe lion,lion animal,lion have hair
6620,tiger eat vegetable,tiger carnivore,tiger ferocious
6668,ant building house,ant too small,ant social animal
6673,coal clean energy,coal harmful to environment,coal natural product
6680,bucket sits on chair,bucket without butt,bucket can hold thing
6699,tom bath in magma,magma harmful to human body,magma rich in mineral
6705,watermelon grow on tree,watermelon vine plant,watermelon crop
6730,tiger grazing,tiger carnivore,tiger ferocious
6747,post mountain,mountain too big to mail,mountain form by crustal movement
6780,bird nest can manufacture,bird nest make swallow,bird nest contains nutrition
6785,mosquito cut hair,mosquito too small to get haircut,mosquito bloodsucking animal
6787,sheep eat meat,sheep herbivore,sheep mammal
6793,plastic natural product,plastic synthetic,plastic not edible
6797,petroleum make tree,petroleum natural product,petroleum can burn
6801,lion primate,lion cat,lion fierce
6802,leopard coldblooded animal,leopard thermostat,leopard fast
6825,noodle use to sew clothes,noodle too soft,noodle kind food
6844,wastewater rich in nutrient,wastewater waste without nutrition,wastewater have great source
6847,lion kind microorganism,lion cat,lion fierce
6849,tiger eat bamboo,tiger carnivore,tiger ferocious
6870,people play basketball with foot,rule basketball require play with hand,hurt to kick basketball with foot
6874,cat like to catch lion,lion strong than cat,lion and cat feline
6886,peoplefeed hamster cat,cat strong than hamster,cat and hamster nocturnal
6888,tony go to school by spaceship,spaceship need for journey in space,spaceship cause stir in school
6903,build house out water,house make water not strong enough,house make water not warm enough
6905,people put rice in shoe,put rice in shoe get rice dirty,put rice in shoe make shoe uglier
6938,crocodile can swim in magma,magma burn crocodile to death,magma red and crocodile grey
6953,watch comedy movie sad activity,comedy movie make people laugh,comedy movie production cost low
6961,eat beef make people weeker,beef contains lot protein,beef taste bit hard
7023,mother hate very much,mother love son very much,mother hat puppy very much
7081,soldier must obey order enemy,soldier task to destroy enemy,soldier order two men to get out car
7285,have five eye,usually human have two eye,usually fish have two eye
7326,mother mother grandfather,mother mother should woman,everyone have grandfather and mother
7416,tiger only eat meat,tiger carnivore,not everyone know taste tiger meat
7519,ashamed have won scholarship,win scholarship mean recognition achievement,student should ashamed not work hard
7594,cheer up that reject,people feel upset when reject by others,people need to encourage themselves when reject
7618,go run in room every day,room too small for run,run good for health
7631,billboard indicate where can stop,billboard do not have stop sign,can not stop on road at
7671,lucky girl because have broken family,broken family bad for child to grow up,so lucky because parent do not give broken family
7703,bake pizza in fridge,fridge too cold to bake pizza,bought fridge and pizza yesterday
7705,fill clothes with water,clothes leak water down,soak clothes in water
7710,cotton on ground puncture tire,cotton too soft to puncture tire,large field cotton grown on farm
7716,put hat on foot,hat worn on head,there scar on foot
7766,flexible to take course in traditional classroom,student usually have fix schedule when take course in traditional classroom,in traditional classroom people still flexible to choose what to learn
7912,it serious crime to consign animal into britain,legal to consign animal through series procedure,can consign animal to country to protect
7925,do not need umbrella on rainy day,use umbrella on rainy day can keep body dry,businessmen happy to sell more umbrella on rainy day
7977,apple grow on pear tree,apple fruit apple tree,pear sweeter than apple
8005,shopping online inconvenient,shopping online save much time and money,people fond purchasing good through shopping online
8029,rat not pest,rat may infect plague,rat small
8073,peanut not edible,peanut common food,peanut kind allergen
8086,steam bread not edible,steam bread common food,steam bread make flour
8110,pure water gas,pure water transparent liquid,pure water can drunk
8113,wine make from banana,raw material wine grape,wine contains alcohol
8158,eyelash grow above mouth,eyelash grow at front eyelid,eyelash can keep dirt from environment out eye
8170,people never yawn,people yawn when feel tire,seriously ill people rarely yawn
8175,every volcano erupts,extinct volcano inactive,volcano common landform
8179,cloud solid,cloud form from water vapor,cloud result earth water cycle
8182,earth cube,earth irregular oval sphere,earth in solar system
8232,tomato taste good when stale,fresh vegetable usually taste well than stale vegetable,fresh tomato rich in vitamin and taste goo
8248,student can eat in class,eat in class violation classroom discipline,student should listen carefully in class
8252,minor may marry,underage not old enough to marry,minor not allow to drink alcohol
8263,bird good at swim,bird good at fly but fish good at swim,bird good at prey fish which good at swim
8268,time can turn back,lose time never found again,should learn to value time
8317,territory every country can violate,territory country integral part country,country should fight for territory
8321,scarf only decorative article,main function scarf to protect u against cold,scarf have function decorate body
8324,rabbit coldblooded animal,rabbit lovely warmblooded animal,coldblooded snake eat rabbit
8326,gym good place to eat,gym place to play sport rather than eat,there good restaurant to eat near to gym
8419,play computer game for long time good for health,play computer game for long time make eyesight bad,play computer game for long time waste useful time
8424,write paper great way to relax,write paper usually stressful thing,take effort to write good paper
8433,mobile phone cannot use to take video,mobile phone have camera that can take video,people who love take video usually mobile phone
8464,patient live in amusement park,amusement park place for people to play,child love to go to amusement park
8549,can spit everywhere,spit may spread bacteria and virus,can breathe everywhere
8611,wash hand with charcoal,charcoal can get hand dirty,charcoal can use a fuel
8615,traffic light green so stop,green light mean can go,there traffic light at intersection
8739,vocabulary not important part english learn,vocabulary prerequisite for fluent write and reading english,by listen to english radio can improve vocabulary
8753,people should drive after drunk,drunk drive cause traffic accident which affect personal safety pedestrian and driver,most country in world have harsh law aim at penalize drunk drive
8796,most child hate candy,candy sweet and child love sweet thing,candy bitter and child love bitter thing
8806,alice become joyful after felt left out by friend,feel left out make person unhappy,joyful people not feel left out
8928,mongolia mass surround by water,mongolia landlocked country,mongolia not developed country yet
8969,african lion enjoy eat grass,lion carnivorous so eat meat instead grass,grass contains vitamin beneficial for african lion
9023,press accelerator to slow car down,accelerator device to speed car up,car in front car slow down
9027,after one day exercise become strong,condition strong require long time to achieve,when at gym people around all strong
9050,susan disconnect phone to wait for another call,if phone disconnect not ring,there not another call today
9052,anne drop waterfall on floor,waterfall fall from cliff mountain,waterfall a high a 20floor building
9089,lent some bill,bill need to paid and nonborrowable,give bill because have borrow from
9117,put apple in mouth,eat apple require few mouthful,apple day keep doctor away
9211,boy fill bucket with air,air everywhere so it already in bucket,bucket have hole on it bottom
9282,normal for people to use radio to play game,there few game on radio,radio with game can heavy
9295,drink oil when thirsty,oil do not quench people thirst,oil not good to drink
9296,eat more vegetable kill people,vegetable nutritious and healthy,vegetable usually green
9300,diet way to gain weight,if eat less lose weight,diet can change body shape
9301,most people work to spend money,worker paid after work,there lot work overhead
9307,student usually give lecture to teacher,teacher duty to teach student,student usually young than teacher
9317,household get dirty after housework,housework for cleaning furniture,do housework usually exhaust
9320,student with poor eyesight mostly sit in back row classroom,back row classroom too far from platform,back row classroom usually have well light
9345,like sit in boat and float on desert,boat need water to float,desert too dangerous for boat
9430,eat salty food make hungry,people become full after eat food,people become happy after eat food
9482,apply for job to relax,work burden for most people,most adult need job
9574,nice wear left bad impression on,people admire those wear nicely,first impression may change later
9618,best friend in lose wallet,wallet too small for person,police find wallet for
9657,gardener grow crop in garden,grow crop farmer job,gardener eat crop too
9681,human can identify by unique name,different people may have same name,person name should include in selfintroduction
9743,plane land smoothly in parking lot,parking lot use to park car,plane land not easy thing
9755,teammate here to encourage in teamwork,everyone on team need to take on work,encourage each other can create good team atmosphere
9777,horse water cowboy everyday,cowboy can drink water by themselves,horse and cowboy love each other
9795,museum exhibit artifact for sale,nobody can buy artifact in museum,museum need fund for daily operation
9831,college student usually learn same course,college student have different major,college student have compulsory and optional course
9836,mom cook fry tiger meat once week for,human rarely eats tiger meat,tiger meat so hard that human can not bite
9840,pig egg delicious,pig mammal,pig protect offspring
9846,something might do while take bus draw oil painting,it too bumpy to draw painting on bus,it too dark to draw painting on bus
9931,people go to see doctor so fall ill,doctor meant to cure disease,doctor usually kind to patient
9947,banana tree grow in desert,desert too dry for banana tree to grow,banana tree can get enough sunshine in desert
9955,india country in europe,india locate in asia,india in northern hemisphere
9963,rebecca wake up because take sleep pill,take sleep pill make people sleep soundly,sleep pill have opposite effect on rebecca
9986,jenny order hot dog in pet store,hot dog kind food serve in restaurant,jenny prefers dog that cold instead hot
9987,dry hair before use shampoo,when use shampoo wet hair first,hair too wet to use shampoo
9996,gloria wear cat on head,cat cannot worn on person head,hat cannot worn on cat head
